id,name,red,green,blue,structure_order,parent_id,parent_acronym
20215,Right_Anterior_pretectal_nucleus,APN,255,176,249,82000,1100,PRT
20217,Right_Superior_vestibular_nucleus,SUV,255,212,201,96300,701,VNC
20218,Right_Lateral_posterior_nucleus_of_the_thalamus,LP,255,135,130,65800,138,LAT
20222,Right_Nucleus_raph_obscurus,RO,255,176,194,97100,379,MY-sat
20223,Right_Arcuate_hypothalamic_nucleus,ARH,255,76,79,71800,157,PVZ
20225,Right_Spinal_vestibular_nucleus,SPIV,255,212,201,96200,701,VNC
20226,Right_Lateral_preoptic_area,LPO,255,79,82,77400,290,LZ
20230,Right_Nucleus_raph_pallidus,RPA,255,176,195,97000,379,MY-sat
20231,Right_Anterior_tegmental_nucleus,AT,255,177,252,83200,323,MBmot
20233,Right_Anterolateral_visual_area_layer_5,VISal5,16,179,202,14500,402,VISal
20234,Right_Temporal_association_areas_layer_4,TEa4,56,151,133,28300,541,TEa
20235,Right_Lateral_reticular_nucleus,LRN,255,212,193,93900,370,MY-mot
20237,Right_solitary_tract,ts,204,204,204,101600,917,Xn
20238,Right_Nucleus_raph_pontis,RPO,255,172,115,89100,1117,P-sat
20243,Right_Dorsal_auditory_area_layer_6b,AUDd6b,137,198,186,11200,1011,AUDd
20246,Right_Midbrain_reticular_nucleus_retrorubral_area,RR,255,178,249,80200,323,MBmot
20249,Right_Posterior_auditory_area_layer_6a,AUDpo6a,111,191,185,12500,1027,AUDpo
20250,Right_Lateral_septal_nucleus_caudal_(caudodorsal)_part,LSc,153,237,232,49500,242,LS
20251,Right_Primary_auditory_area_layer_2/3,AUDp2/3,0,160,119,11500,1002,AUDp
20252,Right_Dorsal_auditory_area_layer_5,AUDd5,91,185,168,11000,1011,AUDd
20255,Right_Anteroventral_nucleus_of_thalamus,AV,255,136,133,66300,239,ATN
20257,Right_posteromedial_visual_area_layer_6a,VISpm6a,93,188,201,18100,533,VISpm
20258,Right_Lateral_septal_nucleus_rostral_(rostroventral)_part,LSr,153,237,233,49600,242,LS
20260,Right_Nucleus_of_the_lateral_olfactory_tract_molecular_layer,NLOT1,160,255,170,34300,619,NLOT
20262,Right_Reticular_nucleus_of_the_thalamus,RT,255,128,128,68900,856,DORpm
20263,Right_Anteroventral_preoptic_nucleus,AVP,255,77,83,72200,141,PVR
20266,Right_Lateral_septal_nucleus_ventral_part,LSv,153,237,234,49700,242,LS
20269,Right_Posterolateral_visual_area_layer_2/3,VISpl2/3,0,181,214,17100,425,VISpl
20271,Right_Nucleus_sagulum,SAG,255,152,251,79600,339,MBsen
20272,Right_Anteroventral_periventricular_nucleus,AVPV,255,77,84,72300,141,PVR
20274,Right_Retrosplenial_area_dorsal_part_layer_6a,RSPd6a,86,164,129,26400,879,RSPd
20278,Right_Striatum-like_amygdalar_nuclei,sAMY,160,208,232,50000,477,STR
20279,Right_Retrosplenial_area_lateral_agranular_part_layer_6b,RSPagl6b,83,165,142,25800,894,RSPagl
20280,Right_Barrington's_nucleus,B,255,174,80,87100,987,P-mot
20281,Right_Anteromedial_visual_area_layer_1,VISam1,0,141,139,14900,394,VISam
20286,Right_Suprachiasmatic_nucleus,SCH,255,77,94,73700,141,PVR
20287,Right_Bed_nucleus_of_the_anterior_commissure,BAC,160,190,152,54600,809,PALc
20288,Right_Orbital_area_ventrolateral_part_layer_2/3,ORBvl2/3,51,146,87,22900,746,ORBvl
20289,Right_Temporal_association_areas_layer_5,TEa5,82,165,150,28400,541,TEa
20292,Right_Bed_nucleus_of_the_accessory_olfactory_tract,BA,160,208,232,50200,278,sAMY
20296,Right_Anterior_cingulate_area_ventral_part_layer_2/3,ACAv2/3,131,198,100,19700,48,ACAv
20298,Right_Magnocellular_nucleus,MA,162,208,176,52200,835,PALv
20301,Right_stria_terminalis,st,204,204,204,112600,768,mfbc
20303,Right_Basolateral_amygdalar_nucleus_anterior_part,BLAa,81,255,83,47200,295,BLA
20304,Right_Prelimbic_area_layer_2/3,PL2/3,121,163,95,20400,972,PL
20305,Right_Primary_visual_area_layer_6b,VISp6b,107,173,178,16800,385,VISp
20307,Right_Magnocellular_reticular_nucleus,MARN,255,212,194,94200,370,MY-mot
20310,Right_Septofimbrial_nucleus,SF,147,239,232,49800,275,LSX
20311,Right_Basolateral_amygdalar_nucleus_posterior_part,BLAp,82,255,83,47300,295,BLA
20313,Right_Midbrain,MB,255,200,255,78500,343,BS
20314,Right_Agranular_insular_area_posterior_part_layer_6a,AIp6a,87,180,124,24400,111,AIp
20318,Right_Supragenual_nucleus,SG,255,174,84,87800,987,P-mot
20319,Right_Basomedial_amygdalar_nucleus,BMA,80,255,84,47500,703,CTXsp
20320,Right_Primary_motor_area_Layer_1,MOp1,45,161,79,1600,985,MOp
20321,Right_Subgeniculate_nucleus,SubG,255,135,133,69500,1014,GENv
20325,Right_Suprageniculate_nucleus,SGN,255,131,130,66100,138,LAT
20326,Right_superior_cerebelar_peduncles,scp,204,204,204,104500,752,cbp
20328,Right_Agranular_insular_area_dorsal_part_layer_2/3,AId2/3,95,171,97,23600,104,AId
20330,Right_Retrosplenial_area_dorsal_part_layer_6b,RSPd6b,104,170,142,26500,879,RSPd
20332,Right_Accessory_supraoptic_group,ASO,255,76,62,70300,157,PVZ
20333,Right_Septohippocampal_nucleus,SH,139,239,232,49900,275,LSX
20335,Right_Perirhinal_area_layer_6a,PERI6a,79,166,164,28800,922,PERI
20338,Right_Subfornical_organ,SFO,255,77,80,73800,141,PVR
20341,Right_supramammillary_decussation,smd,204,204,204,113600,824,mfsbshy
20342,Right_Substantia_innominata,SI,152,208,176,52100,835,PALv
20344,Right_Agranular_insular_area_posterior_part_layer_5,AIp5,59,165,106,24300,111,AIp
20347,Right_Subparaventricular_zone,SBPV,255,77,80,73600,141,PVR
20350,Right_Subceruleus_nucleus,SLC,255,172,114,89200,1117,P-sat
20351,Right_Bed_nuclei_of_the_stria_terminalis,BST,160,190,160,52900,809,PALc
20354,Right_Medulla,MY,255,160,176,89400,1065,HB
20355,Right_Agranular_insular_area_posterior_part_layer_6b,AIp6b,108,186,137,24500,111,AIp
20356,Right_Preparasubthalamic_nucleus,PST,255,79,80,77600,290,LZ
20358,Right_Sublaterodorsal_nucleus,SLD,255,172,113,89300,1117,P-sat
20362,Right_Mediodorsal_nucleus_of_thalamus,MD,255,144,163,67300,444,MED
20363,Right_Prelimbic_area_layer_5,PL5,140,178,114,20500,972,PL
20364,Right_Parasubthalamic_nucleus,PSTN,255,79,80,77700,290,LZ
20366,Right_Submedial_nucleus_of_the_thalamus,SMT,255,144,161,67700,444,MED
20368,Right_Perirhinal_area_layer_6b,PERI6b,99,171,173,28900,922,PERI
20372,Right_Infracerebellar_nucleus,ICB,255,212,219,93400,370,MY-mot
20374,Right_Substantia_nigra_compact_part,SNc,255,158,248,83800,348,MBsta
20377,Right_Posterolateral_visual_area_layer_6a,VISpl6a,110,205,226,17400,425,VISpl
20380,Right_cuneate_fascicle,cuf,204,204,204,102700,514,dc
20381,Right_Substantia_nigra_reticular_part,SNr,255,178,247,80000,323,MBmot
20382,Right_Field_CA1,CA1,122,255,121,37700,375,CA
20388,Right_gracile_fascicle,grf,204,204,204,102800,514,dc
20390,Right_Supraoptic_nucleus,SO,255,76,60,70200,157,PVZ
20393,Right_Posterolateral_visual_area_layer_6b,VISpl6b,107,205,236,17500,425,VISpl
20397,Right_ventral_tegmental_decussation,vtd,204,204,204,109800,863,rust
20401,Right_Anteromedial_visual_area_layer_4,VISam4,0,143,152,15100,394,VISam
20403,Right_Medial_amygdalar_nucleus,MEA,176,208,248,50800,278,sAMY
20412,Right_Orbital_area_lateral_part_layer_2/3,ORBl2/3,63,148,87,21600,723,ORBl
20413,Right_vestibular_nerve,vVIIIn,204,204,204,100600,933,VIIIn
20414,Right_Subparafascicular_nucleus_magnocellular_part,SPFm,255,111,165,64600,406,SPF
20421,Right_Lateral_visual_area_layer_1,VISl1,0,159,158,15600,409,VISl
20422,Right_Subparafascicular_nucleus_parvicellular_part,SPFp,255,110,165,64700,406,SPF
20423,Right_Field_CA2,CA2,122,255,120,38200,375,CA
20427,Right_Ectorhinal_area/Layer_2/3,ECT2/3,19,147,133,29500,895,ECT
20429,Right_Spinal_nucleus_of_the_trigeminal_caudal_part,SPVC,255,176,183,91300,386,MY-sen
20430,Right_Retrosplenial_area_ventral_part_layer_2/3,RSPv2/3,61,149,104,26900,886,RSPv
20433,Right_Anteromedial_visual_area_layer_5,VISam5,0,158,163,15200,394,VISam
20434,Right_Retrosplenial_area_dorsal_part_layer_2/3,RSPd2/3,34,145,99,26100,879,RSPd
20436,Right_columns_of_the_fornix,fx,204,204,204,111900,737,fxpo
20437,Right_Spinal_nucleus_of_the_trigeminal_interpolar_part,SPVI,255,176,184,91400,386,MY-sen
20440,Right_Orbital_area_lateral_part_layer_6a,ORBl6a,107,168,116,21800,723,ORBl
20441,Right_Anteromedial_visual_area_layer_6b,VISam6b,98,172,181,15400,394,VISam
20442,Right_Retrosplenial_area_dorsal_part_layer_1,RSPd1,0,139,89,26000,879,RSPd
20443,Right_dorsal_hippocampal_commissure,dhc,204,204,204,112100,618,hc
20445,Right_Spinal_nucleus_of_the_trigeminal_oral_part,SPVO,255,176,182,91500,386,MY-sen
20448,Right_Orbital_area_lateral_part_layer_1,ORBl1,37,143,69,21500,723,ORBl
20449,Right_ventral_hippocampal_commissure,vhc,204,204,204,112200,618,hc
20450,Right_Primary_somatosensory_area_upper_limb_layer_1,SSp-ul1,0,174,103,6400,369,SSp-ul
20451,Right_Basolateral_amygdalar_nucleus_ventral_part,BLAv,73,255,83,47400,295,BLA
20452,Right_Median_preoptic_nucleus,MEPO,255,77,86,72800,141,PVR
20456,Right_Posterior_auditory_area_layer_6b,AUDpo6b,136,199,195,12600,1027,AUDpo
20460,Right_Midbrain_trigeminal_nucleus,MEV,255,152,254,79800,339,MBsen
20461,Right_Primary_somatosensory_area_trunk_layer_6b,SSp-tr6b,156,216,218,7600,361,SSp-tr
20463,Right_Field_CA3,CA3,122,255,119,38700,375,CA
20466,Right_alveus,alv,204,204,204,111200,1099,fxs
20469,Right_posteromedial_visual_area_layer_6b,VISpm6b,119,194,202,18200,533,VISpm
20470,Right_Subthalamic_nucleus,STN,255,79,85,77900,290,LZ
20475,Right_Medial_geniculate_complex,MG,255,112,162,65100,1008,GENd
20477,Right_Striatum,STR,160,200,232,48000,623,CNU
20478,Right_Primary_somatosensory_area_lower_limb_layer_6a,SSp-ll6a,119,202,188,5400,337,SSp-ll
20482,Right_brachium_of_the_inferior_colliculus,bic,204,204,204,101300,948,cVIIIn
20483,Right_Medial_habenula,MH,255,134,144,69700,958,EPI
20484,Right_Orbital_area_medial_part_layer_1,ORBm1,102,155,63,22100,731,ORBm
20488,Right_Orbital_area_lateral_part_layer_6b,ORBl6b,128,175,128,21900,723,ORBl
20491,Right_Medial_mammillary_nucleus,MM,255,78,84,74800,331,MBO
20494,Right_Superior_colliculus_motor_related_intermediate_gray_layer_sublayer_a,SCig-a,255,178,248,81200,10,SCig
20501,Right_posteromedial_visual_area_layer_4,VISpm4,0,179,200,17900,533,VISpm
20502,Right_Subiculum,SUB,128,255,151,45500,822,RHP
20503,Right_Superior_colliculus_motor_related_intermediate_gray_layer_sublayer_b,SCig-b,255,178,248,81300,10,SCig
20507,Right_Main_olfactory_bulb,MOB,160,255,171,30000,698,OLF
20510,Right_Primary_somatosensory_area_lower_limb_layer_6b,SSp-ll6b,145,211,198,5500,337,SSp-ll
20511,Right_Superior_colliculus_motor_related_intermediate_gray_layer_sublayer_c,SCig-c,255,178,248,81400,10,SCig
20515,Right_Medial_preoptic_nucleus,MPN,255,78,87,75600,467,MEZ_
20520,Right_Ventral_auditory_area_layer_6a,AUDv6a,116,190,160,13200,1018,AUDv
20523,Right_Medial_preoptic_area,MPO,255,77,87,72900,141,PVR
20525,Right_Supramammillary_nucleus,SUM_,255,78,85,75000,331,MBO
20527,Right_Dorsal_auditory_area_layer_1,AUDd1,0,157,125,10700,1011,AUDd
20530,Right_dorsal_fornix,df,204,204,204,111300,1099,fxs
20531,Right_Medial_pretectal_area,MPT,255,176,248,82100,1100,PRT
20534,Right_Supratrigeminal_nucleus,SUT,255,174,82,88000,987,P-mot
20536,Right_Central_amygdalar_nucleus,CEA,171,208,248,50300,278,sAMY
20540,Right_Perirhinal_area_layer_1,PERI1,0,141,133,29000,922,PERI
20542,Right_Retrosplenial_area_ventral_part_layer_1,RSPv1,0,138,79,26700,886,RSPv
20549,Right_Thalamus,TH,255,112,128,63500,1129,IB
20556,Right_Infralimbic_area_layer_2/3,ILA2/3,50,146,93,8700,44,ILA
20558,Right_Primary_somatosensory_area_nose_layer_1,SSp-n1,0,175,115,3600,353,SSp-n
20564,Right_Medial_septal_nucleus,MS,118,224,176,52500,904,MSC
20565,Right_posteromedial_visual_area_layer_5,VISpm5,63,184,201,18000,533,VISpm
20566,Right_Postpiriform_transition_area,TR,160,255,166,36900,698,OLF
20573,Right_Lateral_visual_area_layer_4,VISl4,0,161,173,15800,409,VISl
20574,Right_Tegmental_reticular_nucleus,TRN,255,174,81,88100,987,P-mot
20575,Right_Central_lateral_nucleus_of_the_thalamus,CL,255,135,132,68700,51,ILM
20576,Right_Accessory_facial_motor_nucleus,ACVII,255,212,235,92600,370,MY-mot
20577,Right_Primary_somatosensory_area_upper_limb_layer_4,SSp-ul4,79,188,133,6600,369,SSp-ul
20580,Right_Nucleus_of_the_brachium_of_the_inferior_colliculus,NB,255,152,253,79500,339,MBsen
20581,Right_Triangular_nucleus_of_septum,TRS,128,224,176,52700,826,PALm
20582,Right_Orbital_area_medial_part_layer_2/3,ORBm2/3,131,166,95,22300,731,ORBm
20583,Right_Claustrum,CLA,80,255,85,46600,703,CTXsp
20587,Right_Nucleus_of_Darkschewitsch,ND,255,146,255,81800,795,PAG
20588,Right_Anterior_cingulate_area_ventral_part_layer_1,ACAv1,109,191,85,19600,48,ACAv
20589,Right_Taenia_tecta,TT,160,255,160,31800,698,OLF
20590,Right_Retrosplenial_area_ventral_part_layer_6a,RSPv6a,96,166,129,27100,886,RSPv
20591,Right_Central_linear_nucleus_raph,CLI,255,158,253,84400,165,RAmb
20593,Right_Primary_visual_area_layer_1,VISp1,0,147,153,16300,385,VISp
20595,Right_fasciculus_retroflexus,fr,204,204,204,115200,1083,mfbse
20596,Right_Diagonal_band_nucleus,NDB,138,224,176,52600,904,MSC
20598,Right_Ventral_auditory_area_layer_6b,AUDv6b,127,193,168,13300,1018,AUDv
20599,Right_Central_medial_nucleus_of_the_thalamus,CM,255,134,132,68500,51,ILM
20600,Right_Dorsal_auditory_area_layer_2/3,AUDd2/3,0,163,137,10800,1011,AUDd
20601,Right_Anterolateral_visual_area_layer_6a,VISal6a,105,193,212,14600,402,VISal
20603,Right_fimbria,fi,204,204,204,111400,1099,fxs
20604,Right_Nucleus_incertus,NI,255,172,116,88900,1117,P-sat
20608,Right_Orbital_area_ventrolateral_part_layer_6a,ORBvl6a,97,166,116,23100,746,ORBvl
20609,Right_Subparafascicular_area,SPA,255,128,177,64800,864,DORsm
20610,Right_Retrosplenial_area_dorsal_part_layer_5,RSPd5,60,149,109,26300,879,RSPd
20611,Right_habenular_commissure,hbc,204,204,204,115300,1083,mfbse
20612,Right_Nucleus_of_the_lateral_lemniscus,NLL,255,170,97,84900,1132,P-sen
20613,Right_Lateral_visual_area_layer_5,VISl5,0,176,184,15900,409,VISl
20614,Right_Tuberal_nucleus,TU,255,79,86,78000,290,LZ
20616,Right_Cuneiform_nucleus,CUN,255,178,254,82600,323,MBmot
20620,Right_Orbital_area_medial_part_layer_5,ORBm5,150,181,113,22400,731,ORBm
20621,Right_Motor_nucleus_of_trigeminal,V,255,174,104,88200,987,P-mot
20622,Right_Retrosplenial_area_ventral_part_layer_6b,RSPv6b,105,169,135,27200,886,RSPv
20625,Right_Primary_somatosensory_area_upper_limb_layer_5,SSp-ul5,103,194,147,6700,369,SSp-ul
20628,Right_Nucleus_of_the_optic_tract,NOT,255,176,247,82200,1100,PRT
20629,Right_Ventral_anterior-lateral_complex_of_the_thalamus,VAL,255,108,161,63800,637,VENT
20630,Right_Orbital_area_lateral_part_layer_5,ORBl5,82,152,98,21700,723,ORBl
20632,Right_Dentate_gyrus_granule_cell_layer,DG-sg,64,200,64,39600,726,DG
20633,Right_inferior_colliculus_commissure,cic,204,204,204,101200,948,cVIIIn
20634,Right_Nucleus_of_the_posterior_commissure,NPC,255,176,246,82300,1100,PRT
20638,Right_Gustatory_areas_layer_6a,GU6a,152,208,152,9600,1057,GU
20639,Right_Cortical_amygdalar_area_anterior_part,COAa,160,255,178,34700,631,COA
20642,Right_Nucleus_of_the_trapezoid_body,NTB,255,176,181,90600,386,MY-sen
20643,Right_Posterior_auditory_area_layer_2/3,AUDpo2/3,24,165,151,12200,1027,AUDpo
20647,Right_Cortical_amygdalar_area_posterior_part,COAp,160,255,179,35100,631,COA
20648,Right_Primary_motor_area_Layer_5,MOp5,94,172,111,1800,985,MOp
20649,Right_Anterolateral_visual_area_layer_6b,VISal6b,103,193,221,14700,402,VISal
20651,Right_Nucleus_of_the_solitary_tract,NTS,255,178,176,90700,386,MY-sen
20653,Right_Abducens_nucleus,VI,255,212,225,92300,370,MY-mot
20654,Right_Primary_somatosensory_area_nose_layer_4,SSp-n4,78,189,140,3800,353,SSp-n
20656,Right_Secondary_motor_area_layer_1,MOs1,63,147,68,2200,993,MOs
20657,Right_Primary_somatosensory_area_mouth_layer_2/3,SSp-m2/3,20,180,107,5800,345,SSp-m
20658,Right_lateral_lemniscus,ll,204,204,204,101100,948,cVIIIn
20661,Right_Facial_motor_nucleus,VII,255,212,234,92500,370,MY-mot
20662,Right_Gustatory_areas_layer_6b,GU6b,175,218,179,9700,1057,GU
20665,Right_lateral_olfactory_tract_body,lot,204,204,204,97900,21,lotg
20667,Right_Frontal_pole_layer_2/3,FRP2/3,132,165,74,800,184,FRP
20670,Right_Primary_somatosensory_area_trunk_layer_2/3,SSp-tr2/3,0,185,179,7200,361,SSp-tr
20671,Right_Retrosplenial_area_lateral_agranular_part_layer_1,RSPagl1,0,139,100,25400,894,RSPagl
20672,Right_Caudoputamen,CP,160,216,248,48200,485,STRd
20673,Right_mammillary_peduncle,mp,204,204,204,114700,46,mfbsma
20675,Right_Agranular_insular_area_ventral_part_layer_6a,AIv6a,153,207,137,25000,119,AIv
20678,Right_Dorsal_auditory_area_layer_4,AUDd4,63,170,151,10900,1011,AUDd
20679,Right_Superior_central_nucleus_raph,CS,255,172,119,88400,1117,P-sat
20680,Right_Orbital_area_ventrolateral_part_layer_6b,ORBvl6b,117,172,128,23200,746,ORBvl
20681,Right_mammillotegmental_tract,mtg,204,204,204,114600,46,mfbsma
20685,Right_Ventral_medial_nucleus_of_the_thalamus,VM,255,108,162,63900,637,VENT
20687,Right_Retrosplenial_area_ventral_part_layer_5,RSPv5,87,163,123,27000,886,RSPv
20689,Right_Ventrolateral_preoptic_nucleus,VLPO,255,77,80,73900,141,PVR
20690,Right_mammilothalmic_tract,mtt,204,204,204,114500,46,mfbsma
20692,Right_Perirhinal_area_layer_5,PERI5,52,151,146,29100,922,PERI
20693,Right_Ventromedial_hypothalamic_nucleus,VMH,255,78,91,76700,467,MEZ_
20694,Right_Agranular_insular_area_ventral_part_layer_2/3,AIv2/3,107,192,110,24800,119,AIv
20696,Right_Posterior_auditory_area_layer_1,AUDpo1,0,158,137,12100,1027,AUDpo
20697,Right_medial_lemniscus,ml,204,204,204,103000,932,cett
20698,Right_Olfactory_areas,OLF,144,255,144,29900,695,CTXpl
20699,Right_Agranular_insular_area_ventral_part_layer_6b,AIv6b,166,213,152,25100,119,AIv
20702,Right_Primary_somatosensory_area_nose_layer_5,SSp-n5,102,195,154,3900,353,SSp-n
20703,Right_Cortical_subplate,CTXsp,80,255,80,46400,688,CTX
20704,Right_Agranular_insular_area_ventral_part_layer_1,AIv1,84,186,88,24700,119,AIv
20705,Right_midbrain_tract_of_the_trigeminal_nerve,mtV,204,204,204,99900,229,sV
20706,Right_Olivary_pretectal_nucleus,OP,255,176,245,82400,1100,PRT
20707,Right_Infralimbic_area_layer_1,ILA1,0,137,72,8500,44,ILA
20711,Right_Cuneate_nucleus,CU,255,177,177,90300,720,DCN
20718,Right_Ventral_posterolateral_nucleus_of_the_thalamus,VPL,255,108,145,64100,709,VP
20721,Right_Primary_visual_area_layer_4,VISp4,17,151,167,16500,385,VISp
20725,Right_Ventral_posterolateral_nucleus_of_the_thalamus_parvicellular_part,VPLpc,255,108,146,64200,709,VP
20728,Right_arbor_vitae,arb,204,204,204,105900,960,cbf
20729,Right_Temporal_association_areas_layer_6a,TEa6a,102,170,157,28500,541,TEa
20733,Right_Ventral_posteromedial_nucleus_of_the_thalamus,VPM,255,108,147,64300,709,VP
20735,Right_Primary_auditory_area_layer_1,AUDp1,0,157,114,11400,1002,AUDp
20741,Right_Ventral_posteromedial_nucleus_of_the_thalamus_parvicellular_part,VPMpc,255,108,148,64400,733,VPM
20749,Right_Ventral_tegmental_area,VTA,255,178,246,80100,323,MBmot
20750,Right_Posterolateral_visual_area_layer_1,VISpl1,0,180,205,17000,425,VISpl
20753,Right_principal_mammillary_tract,pm,204,204,204,114400,46,mfbsma
20754,Right_Olfactory_tubercle,OT,160,224,224,48600,493,STRv
20755,Right_Ventral_auditory_area_layer_2/3,AUDv2/3,41,163,113,12900,1018,AUDv
20757,Right_Ventral_tegmental_nucleus,VTN,255,177,250,83100,323,MBmot
20759,Right_Posterior_auditory_area_layer_4,AUDpo4,61,170,158,12300,1027,AUDpo
20763,Right_Vascular_organ_of_the_lamina_terminalis,OV,255,77,88,73000,141,PVR
20765,Right_Nucleus_x,x,255,212,202,96400,370,MY-mot
20767,Right_Secondary_motor_area_layer_5,MOs5,101,157,97,2400,993,MOs
20771,Right_Pons,P,255,155,136,84700,1065,HB
20772,Right_Anterior_cingulate_area_ventral_part_layer_5,ACAv5,155,207,122,19800,48,ACAv
20773,Right_Hypoglossal_nucleus,XII,255,212,192,96500,370,MY-mot
20774,Right_Retrosplenial_area_lateral_agranular_part_layer_5,RSPagl5,31,146,110,25600,894,RSPagl
20776,Right_corpus_callosum,cc,204,204,204,106100,983,lfbs
20778,Right_Primary_visual_area_layer_5,VISp5,60,163,177,16600,385,VISp
20780,Right_Posterior_amygdalar_nucleus,PA,80,255,89,47800,703,CTXsp
20781,Right_Nucleus_y,y,255,212,203,96600,370,MY-mot
20783,Right_Agranular_insular_area_dorsal_part_layer_6a,AId6a,144,195,129,23800,104,AId
20784,Right_corticospinal_tract,cst,204,204,204,106900,983,lfbs
20786,Right_Temporal_association_areas_layer_6b,TEa6b,124,177,165,28600,541,TEa
20788,Right_Piriform-amygdalar_area,PAA,160,255,169,36400,698,OLF
20791,Right_Posterior_auditory_area_layer_5,AUDpo5,89,185,176,12400,1027,AUDpo
20794,Right_spinal_tract_of_the_trigeminal_nerve,sptV,204,204,204,100000,229,sV
20795,Right_Periaqueductal_gray,PAG,255,144,255,81500,323,MBmot
20797,Right_Zona_incerta,ZI,255,79,87,78100,290,LZ
20798,Right_facial_nerve,VIIn,204,204,204,100100,967,cm
20800,Right_Agranular_insular_area_ventral_part_layer_5,AIv5,129,199,124,24900,119,AIv
20802,Right_stria_medullaris,sm,204,204,204,115100,1083,mfbse
20803,Right_Pallidum,PAL,160,200,176,51600,623,CNU
20804,Right_Fields_of_Forel,FF,255,79,87,78300,797,ZI
20805,Right_posteromedial_visual_area_layer_1,VISpm1,0,174,184,17700,533,VISpm
20806,Right_Supplemental_somatosensory_area_layer_2/3,SSs2/3,0,180,135,7900,378,SSs
20810,Right_Anterior_cingulate_area_ventral_part_6a,ACAv6a,167,212,136,19900,48,ACAv
20814,Right_Dorsal_peduncular_area,DP,112,255,125,33000,698,OLF
20816,Right_Primary_auditory_area_layer_4,AUDp4,37,164,125,11600,1002,AUDp
20819,Right_Anterior_cingulate_area_ventral_part_6b,ACAv6b,178,217,152,20000,48,ACAv
20821,Right_Primary_visual_area_layer_2/3,VISp2/3,0,148,159,16400,385,VISp
20827,Right_Infralimbic_area_layer_5,ILA5,77,160,111,8800,44,ILA
20830,Right_Dorsomedial_nucleus_of_the_hypothalamus,DMH,255,77,85,72400,141,PVR
20831,Right_Agranular_insular_area_dorsal_part_layer_6b,AId6b,156,200,143,23900,104,AId
20836,Right_Ectorhinal_area/Layer_1,ECT1,0,140,121,29400,895,ECT
20838,Right_Primary_somatosensory_area_nose_layer_2/3,SSp-n2/3,44,183,128,3700,353,SSp-n
20839,Right_Dorsal_motor_nucleus_of_the_vagus_nerve,DMX,255,212,184,93100,370,MY-mot
20841,Right_trapezoid_body,tb,204,204,204,100800,948,cVIIIn
20842,Right_Superior_colliculus_superficial_gray_layer,SCsg,255,152,250,78900,302,SCs
20843,Right_Parasubiculum,PAR,129,255,160,44300,822,RHP
20844,Right_Primary_motor_area_Layer_6a,MOp6a,120,188,130,1900,985,MOp
20846,Right_Dentate_nucleus,DN,240,240,82,63200,519,CBN
20847,Right_Primary_auditory_area_layer_5,AUDp5,71,178,145,11700,1002,AUDp
20848,Right_optic_nerve,IIn,204,204,204,98300,967,cm
20849,Right_Visceral_area_layer_6b,VISC6b,117,189,152,10400,677,VISC
20851,Right_Superior_colliculus_optic_layer,SCop,255,152,250,78800,302,SCs
20852,Right_Parvicellular_reticular_nucleus,PARN,255,212,196,94600,370,MY-mot
20854,Right_Primary_somatosensory_area_upper_limb_layer_2/3,SSp-ul2/3,46,183,120,6500,369,SSp-ul
20857,Right_Visceral_area_layer_6a,VISC6a,108,186,144,10300,677,VISC
20859,Right_Parasolitary_nucleus,PAS,255,212,197,94700,370,MY-mot
20862,Right_Supplemental_somatosensory_area_layer_6a,SSs6a,98,196,170,8200,378,SSs
20863,Right_rubrospinal_tract,rust,204,204,204,109700,1000,eps
20867,Right_Parabrachial_nucleus,PB,255,170,96,85400,1132,P-sen
20869,Right_Posterolateral_visual_area_layer_4,VISpl4,0,181,223,17200,425,VISpl
20872,Right_Dorsal_nucleus_raph,DR,255,158,252,84500,165,RAmb
20873,Right_Supplemental_somatosensory_area_layer_1,SSs1,0,176,129,7800,378,SSs
20874,Right_Parabigeminal_nucleus,PBG,255,152,252,79700,339,MBsen
20877,Right_tectospinal_pathway,tsp,204,204,204,109300,1000,eps
20878,Right_Primary_somatosensory_area_mouth_layer_1,SSp-m1,0,173,94,5700,345,SSp-m
20880,Right_Dorsal_tegmental_nucleus,DTN,255,174,87,87200,987,P-mot
20882,Right_Primary_motor_area_Layer_6b,MOp6b,143,196,143,2000,985,MOp
20884,Right_amygdalar_capsule,amc,204,204,204,110700,768,mfbc
20888,Right_Perirhinal_area_layer_2/3,PERI2/3,0,146,139,29200,922,PERI
20889,Right_Primary_somatosensory_area_nose_layer_6a,SSp-n6a,123,202,170,4000,353,SSp-n
20893,Right_Supplemental_somatosensory_area_layer_6b,SSs6b,121,202,179,8300,378,SSs
20897,Right_Visceral_area_layer_1,VISC1,0,155,91,9900,677,VISC
20898,Right_Pontine_central_gray,PCG,255,174,120,87400,987,P-mot
20900,Right_anterior_commissure_olfactory_limb,aco,204,204,204,98200,840,In
20902,Right_Posterolateral_visual_area_layer_5,VISpl5,2,190,215,17300,425,VISpl
20903,Right_External_cuneate_nucleus,ECU,255,176,179,90500,386,MY-sen
20905,Right_Anterolateral_visual_area_layer_2/3,VISal2/3,0,161,189,14300,402,VISal
20906,Right_Retrosplenial_area_lateral_agranular_part_layer_6a,RSPagl6a,63,160,129,25700,894,RSPagl
20907,Right_Paracentral_nucleus,PCN,255,132,132,68600,51,ILM
20908,Right_anterior_commissure_temporal_limb,act,204,204,204,110900,768,mfbc
